Job ID;Internal ID;Task ID;Project ID;Source;Target;Created;Created by;Job due date;Project due date;File;Extension;Workflow;Workflow level;Job status;Job status changed;Project status;Project status changed;Linguist;Vendor;Wordcount;Currency;Rate;Price;Owner;Client;Domain;Subdomain;Cost Center
27446879;3;DX0lx0tRMUad1v0q5_dc2;792007;en;de;28.12.2015 9:24;VasekB;;31.12.2015 9:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
27446881;5;g0Zlx0tRMUae1v0q5_dc2;792007;en;de;28.12.2015 9:24;VasekB;;31.12.2015 9:00;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27449620;1;59UONshgobkHc5El_dc2;792409;en;de;28.12.2015 14:52;VasekB;;31.12.2015 9:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
27449621;2;89UONshgobkHc5El_dc2;792409;en;de;28.12.2015 14:52;VasekB;;31.12.2015 9:00;charter - english-shortened.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
27449622;3;99UONshgobkHc5El_dc2;792409;en;de;28.12.2015 14:52;VasekB;;31.12.2015 9:00;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27542945;3;1yQxw0tRMUaz9Bym1_dc2;798844;en;de;4.1.2016 11:07;VasekB;30.1.2016 23:00;;charter - english.docx;docx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;544;EUR;0.05;27.II;VasekB;;;;
27542946;4;5hWggvndcKOoiFEl_dc2;798844;en;de;4.1.2016 11:07;VasekB;30.1.2016 23:00;;charter - english-formatting.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;262;EUR;0.05;13.I;VasekB;;;;
27542947;5;4hWggvndcKOoiFEl_dc2;798844;en;de;4.1.2016 11:07;VasekB;30.1.2016 23:00;;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
27542948;6;chWggvndcKOoiFEl_dc2;798844;en;de;4.1.2016 11:07;VasekB;30.1.2016 23:00;;charter - english-shortened.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
27542949;7;bhWggvndcKOoiFEl_dc2;798844;en;de;4.1.2016 11:07;VasekB;30.1.2016 23:00;;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
